experiment_id: apply_vs_axf4__brisk_berry_swift
label: Apply vs axf4 (Brisk Berry Swift)
track: apply_vs_axf4__brisk_berry_swift
run_stage: benchmark
generated_at_utc: 2026-05-16T09:33:41Z
definition_path: bench/apply_vs_axf4/config.json
results_table: results/apply_vs_axf4__brisk_berry_swift/runs.tsv
logs_dir: results/apply_vs_axf4__brisk_berry_swift/logs
row_count: 36
software_set: Groebner.groebner local, Groebner.groebner_apply! local, axf4 -t 1 local-copy, axf4 -t 8 local-copy
instance_set: cyclic-2, cyclic-3, cyclic-4, eco-2, eco-3, eco-4, noon-2, noon-3, noon-4
shared_field: GF(2147483647)
shared_order: degrevlex
shared_hardware_track: 
shared_runner_host: DESKTOP-RAOJN57
shared_runner_os: Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.43
shared_timeout_s: 60
shared_memory_limit_mb: 
notes: 
replay_command: python bench/benchmark.py apply_vs_axf4 --auto-machine-label --memory-limit-mb 500 --axf4-binary PATH_TO_AXF4

[runs]
run_id	track	job_id	system_id	instance_id	system_ref	system_sha256	input_ref	input_sha256	software	version	runner	threads	field	order	hardware_track	timeout_s	memory_limit_mb	status	exit_code	wall_time_seconds	process_wall_time_seconds	started_at_utc	finished_at_utc	runner_host	runner_os	runner_processor	runner_machine	runner_cpu_count	runner_word_size	runner_python	log_ref	command
apply-cyclic-4-axf4-t1	apply_vs_axf4__brisk_berry_swift	apply-cyclic-4-axf4-t1	cyclic	cyclic-4	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_4.txt	7a4521a562785fa6424adde18092aaa7d53f377fa937235bd6b26f4059f25321	axf4 -t 1	local-copy	axf4	1	GF(2147483647)	degrevlex		60		ok	0	0.114036	0.114036	2026-05-16T09:33:33Z	2026-05-16T09:33:33Z	DESKTOP-RAOJN57	Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.43	x86_64	x86_64	8	64	3.14.4	results/apply_vs_axf4__brisk_berry_swift/logs/apply-cyclic-4-axf4-t1.log	"""/mnt/c/projects/Alexander Demin/gb_benchmarks/axgrob/axf4"" -p 2147483647 -v [z1,z2,z3,z4] -t 1 /tmp/gbbench-axf4-ugncizln/cyclic_4.txt"
apply-cyclic-4-axf4-t8	apply_vs_axf4__brisk_berry_swift	apply-cyclic-4-axf4-t8	cyclic	cyclic-4	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_4.txt	7a4521a562785fa6424adde18092aaa7d53f377fa937235bd6b26f4059f25321	axf4 -t 8	local-copy	axf4	8	GF(2147483647)	degrevlex		60		ok	0	0.151887	0.151887	2026-05-16T09:33:33Z	2026-05-16T09:33:34Z	DESKTOP-RAOJN57	Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.43	x86_64	x86_64	8	64	3.14.4	results/apply_vs_axf4__brisk_berry_swift/logs/apply-cyclic-4-axf4-t8.log	"""/mnt/c/projects/Alexander Demin/gb_benchmarks/axgrob/axf4"" -p 2147483647 -v [z1,z2,z3,z4] -t 8 /tmp/gbbench-axf4-4mqmtut9/cyclic_4.txt"
apply-eco-2-groebner	apply_vs_axf4__brisk_berry_swift	apply-eco-2-groebner	eco	eco-2	systems/eco/eco.md	978d5db6b8d27c588bb6a9fe6f2d1b56de7961e37ecb8d6a3dcfb2c8f34a7554	systems/eco/txt/eco_2.txt	5390f99db20ffa60d04ed179aa4100e0b5b4977f103142b28b50007128daa451	Groebner.groebner	local	groebner_jl	8	GF(2147483647)	degrevlex		60		error		0.410935	0.410935	2026-05-16T09:33:34Z	2026-05-16T09:33:34Z	DESKTOP-RAOJN57	Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.43	x86_64	x86_64	8	64	3.14.4	results/apply_vs_axf4__brisk_berry_swift/logs/apply-eco-2-groebner.log	
apply-eco-2-groebner-apply	apply_vs_axf4__brisk_berry_swift	apply-eco-2-groebner-apply	eco	eco-2	systems/eco/eco.md	978d5db6b8d27c588bb6a9fe6f2d1b56de7961e37ecb8d6a3dcfb2c8f34a7554	systems/eco/txt/eco_2.txt	5390f99db20ffa60d04ed179aa4100e0b5b4977f103142b28b50007128daa451	Groebner.groebner_apply!	local	groebner_jl	8	GF(2147483647)	degrevlex		60		error		0.393390	0.393390	2026-05-16T09:33:34Z	2026-05-16T09:33:35Z	DESKTOP-RAOJN57	Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.43	x86_64	x86_64	8	64	3.14.4	results/apply_vs_axf4__brisk_berry_swift/logs/apply-eco-2-groebner-apply.log	
apply-eco-2-axf4-t1	apply_vs_axf4__brisk_berry_swift	apply-eco-2-axf4-t1	eco	eco-2	systems/eco/eco.md	978d5db6b8d27c588bb6a9fe6f2d1b56de7961e37ecb8d6a3dcfb2c8f34a7554	systems/eco/txt/eco_2.txt	5390f99db20ffa60d04ed179aa4100e0b5b4977f103142b28b50007128daa451	axf4 -t 1	local-copy	axf4	1	GF(2147483647)	degrevlex		60		ok	0	0.084136	0.084136	2026-05-16T09:33:35Z	2026-05-16T09:33:35Z	DESKTOP-RAOJN57	Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.43	x86_64	x86_64	8	64	3.14.4	results/apply_vs_axf4__brisk_berry_swift/logs/apply-eco-2-axf4-t1.log	"""/mnt/c/projects/Alexander Demin/gb_benchmarks/axgrob/axf4"" -p 2147483647 -v [x1,x2] -t 1 /tmp/gbbench-axf4-7vsgn9jf/eco_2.txt"
apply-eco-2-axf4-t8	apply_vs_axf4__brisk_berry_swift	apply-eco-2-axf4-t8	eco	eco-2	systems/eco/eco.md	978d5db6b8d27c588bb6a9fe6f2d1b56de7961e37ecb8d6a3dcfb2c8f34a7554	systems/eco/txt/eco_2.txt	5390f99db20ffa60d04ed179aa4100e0b5b4977f103142b28b50007128daa451	axf4 -t 8	local-copy	axf4	8	GF(2147483647)	degrevlex		60		ok	0	0.097730	0.097730	2026-05-16T09:33:35Z	2026-05-16T09:33:35Z	DESKTOP-RAOJN57	Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.43	x86_64	x86_64	8	64	3.14.4	results/apply_vs_axf4__brisk_berry_swift/logs/apply-eco-2-axf4-t8.log	"""/mnt/c/projects/Alexander Demin/gb_benchmarks/axgrob/axf4"" -p 2147483647 -v [x1,x2] -t 8 /tmp/gbbench-axf4-i572cc_v/eco_2.txt"
apply-eco-3-groebner	apply_vs_axf4__brisk_berry_swift	apply-eco-3-groebner	eco	eco-3	systems/eco/eco.md	978d5db6b8d27c588bb6a9fe6f2d1b56de7961e37ecb8d6a3dcfb2c8f34a7554	systems/eco/txt/eco_3.txt	dd1a21e18d97a3fc166390880df3c505c1fe7bad37ae6d850358f48d4821a77a	Groebner.groebner	local	groebner_jl	8	GF(2147483647)	degrevlex		60		error		0.444708	0.444708	2026-05-16T09:33:35Z	2026-05-16T09:33:35Z	DESKTOP-RAOJN57	Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.43	x86_64	x86_64	8	64	3.14.4	results/apply_vs_axf4__brisk_berry_swift/logs/apply-eco-3-groebner.log	
apply-eco-3-groebner-apply	apply_vs_axf4__brisk_berry_swift	apply-eco-3-groebner-apply	eco	eco-3	systems/eco/eco.md	978d5db6b8d27c588bb6a9fe6f2d1b56de7961e37ecb8d6a3dcfb2c8f34a7554	systems/eco/txt/eco_3.txt	dd1a21e18d97a3fc166390880df3c505c1fe7bad37ae6d850358f48d4821a77a	Groebner.groebner_apply!	local	groebner_jl	8	GF(2147483647)	degrevlex		60		error		0.480486	0.480486	2026-05-16T09:33:35Z	2026-05-16T09:33:36Z	DESKTOP-RAOJN57	Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.43	x86_64	x86_64	8	64	3.14.4	results/apply_vs_axf4__brisk_berry_swift/logs/apply-eco-3-groebner-apply.log	
apply-eco-3-axf4-t1	apply_vs_axf4__brisk_berry_swift	apply-eco-3-axf4-t1	eco	eco-3	systems/eco/eco.md	978d5db6b8d27c588bb6a9fe6f2d1b56de7961e37ecb8d6a3dcfb2c8f34a7554	systems/eco/txt/eco_3.txt	dd1a21e18d97a3fc166390880df3c505c1fe7bad37ae6d850358f48d4821a77a	axf4 -t 1	local-copy	axf4	1	GF(2147483647)	degrevlex		60		ok	0	0.107559	0.107559	2026-05-16T09:33:36Z	2026-05-16T09:33:36Z	DESKTOP-RAOJN57	Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.43	x86_64	x86_64	8	64	3.14.4	results/apply_vs_axf4__brisk_berry_swift/logs/apply-eco-3-axf4-t1.log	"""/mnt/c/projects/Alexander Demin/gb_benchmarks/axgrob/axf4"" -p 2147483647 -v [x1,x2,x3] -t 1 /tmp/gbbench-axf4-9g82k7y4/eco_3.txt"
apply-eco-3-axf4-t8	apply_vs_axf4__brisk_berry_swift	apply-eco-3-axf4-t8	eco	eco-3	systems/eco/eco.md	978d5db6b8d27c588bb6a9fe6f2d1b56de7961e37ecb8d6a3dcfb2c8f34a7554	systems/eco/txt/eco_3.txt	dd1a21e18d97a3fc166390880df3c505c1fe7bad37ae6d850358f48d4821a77a	axf4 -t 8	local-copy	axf4	8	GF(2147483647)	degrevlex		60		ok	0	0.084451	0.084451	2026-05-16T09:33:36Z	2026-05-16T09:33:36Z	DESKTOP-RAOJN57	Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.43	x86_64	x86_64	8	64	3.14.4	results/apply_vs_axf4__brisk_berry_swift/logs/apply-eco-3-axf4-t8.log	"""/mnt/c/projects/Alexander Demin/gb_benchmarks/axgrob/axf4"" -p 2147483647 -v [x1,x2,x3] -t 8 /tmp/gbbench-axf4-e20n91ve/eco_3.txt"
