experiment_id: apply_vs_axf4
track: apply_vs_axf4
run_stage: benchmark
generated_at_utc: 2026-05-15T21:24:35Z
definition_path: bench/apply_vs_axf4/config.json
results_table: results/apply_vs_axf4/runs.tsv
logs_dir: results/apply_vs_axf4/logs
row_count: 36
software_set: Groebner.groebner 0.10.3, Groebner.groebner_apply! 0.10.3, axf4 -t 1 local-copy, axf4 -t 8 local-copy
instance_set: cyclic-2, cyclic-3, cyclic-4, eco-2, eco-3, eco-4, noon-2, noon-3, noon-4
shared_field: GF(2147483647)
shared_order: degrevlex
shared_hardware_track: 
shared_runner_host: DESKTOP-RAOJN57
shared_runner_os: Windows-10-10.0.19045-SP0
shared_timeout_s: 60
notes: 
replay_command: python bench/benchmark.py apply_vs_axf4

[runs]
run_id	track	job_id	system_id	instance_id	system_ref	system_sha256	input_ref	input_sha256	software	version	runner	threads	field	order	hardware_track	timeout_s	status	exit_code	wall_time_seconds	process_wall_time_seconds	started_at_utc	finished_at_utc	runner_host	runner_os	runner_processor	runner_machine	runner_cpu_count	runner_word_size	runner_python	log_ref	command
apply-eco-4-groebner	apply_vs_axf4	apply-eco-4-groebner	eco	eco-4	systems/eco/eco.md	978d5db6b8d27c588bb6a9fe6f2d1b56de7961e37ecb8d6a3dcfb2c8f34a7554	systems/eco/txt/eco_4.txt	c317bf84369bc42510f18e5d5723297c38b52fad24783adc5c6523722517eade	Groebner.groebner	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60	ok	0	0.0002666	4.220573	2026-05-15T21:23:58Z	2026-05-15T21:24:02Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-eco-4-groebner.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-sr57rebs\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\eco\txt\eco_4.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner"
apply-eco-4-groebner-apply	apply_vs_axf4	apply-eco-4-groebner-apply	eco	eco-4	systems/eco/eco.md	978d5db6b8d27c588bb6a9fe6f2d1b56de7961e37ecb8d6a3dcfb2c8f34a7554	systems/eco/txt/eco_4.txt	c317bf84369bc42510f18e5d5723297c38b52fad24783adc5c6523722517eade	Groebner.groebner_apply!	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60	ok	0	0.0001652	4.289894	2026-05-15T21:24:02Z	2026-05-15T21:24:06Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-eco-4-groebner-apply.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-sr57rebs\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\eco\txt\eco_4.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner_apply!"
apply-eco-4-axf4-t1	apply_vs_axf4	apply-eco-4-axf4-t1	eco	eco-4	systems/eco/eco.md	978d5db6b8d27c588bb6a9fe6f2d1b56de7961e37ecb8d6a3dcfb2c8f34a7554	systems/eco/txt/eco_4.txt	c317bf84369bc42510f18e5d5723297c38b52fad24783adc5c6523722517eade	axf4 -t 1	local-copy	axf4	8	GF(2147483647)	degrevlex		60	ok	0	0.062699	0.062699	2026-05-15T21:24:06Z	2026-05-15T21:24:06Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-eco-4-axf4-t1.log	"""C:\projects\Alexander Demin\gb_benchmarks\axgrob\axf4.exe"" -p 2147483647 -v [x1,x2,x3,x4] -t 1 C:\Users\User\AppData\Local\Temp\gbbench-axf4-3kc9ie6h\eco_4.txt"
apply-eco-4-axf4-t8	apply_vs_axf4	apply-eco-4-axf4-t8	eco	eco-4	systems/eco/eco.md	978d5db6b8d27c588bb6a9fe6f2d1b56de7961e37ecb8d6a3dcfb2c8f34a7554	systems/eco/txt/eco_4.txt	c317bf84369bc42510f18e5d5723297c38b52fad24783adc5c6523722517eade	axf4 -t 8	local-copy	axf4	8	GF(2147483647)	degrevlex		60	ok	0	0.183460	0.183460	2026-05-15T21:24:06Z	2026-05-15T21:24:07Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-eco-4-axf4-t8.log	"""C:\projects\Alexander Demin\gb_benchmarks\axgrob\axf4.exe"" -p 2147483647 -v [x1,x2,x3,x4] -t 8 C:\Users\User\AppData\Local\Temp\gbbench-axf4-z1qhga1w\eco_4.txt"
apply-noon-2-groebner	apply_vs_axf4	apply-noon-2-groebner	noon	noon-2	systems/noon/noon.md	7334b5d5b7f4dffdfaa7472749b342bb01253d58724f79b42f7f0529df48928c	systems/noon/txt/noon_2.txt	d1b0a399c3c7d4828f4b46b1cbd389122fa440f1d08e11cb05d4878cafb4d182	Groebner.groebner	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60	ok	0	0.0001451	4.727584	2026-05-15T21:24:07Z	2026-05-15T21:24:11Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-noon-2-groebner.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-sr57rebs\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\noon\txt\noon_2.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner"
apply-noon-2-groebner-apply	apply_vs_axf4	apply-noon-2-groebner-apply	noon	noon-2	systems/noon/noon.md	7334b5d5b7f4dffdfaa7472749b342bb01253d58724f79b42f7f0529df48928c	systems/noon/txt/noon_2.txt	d1b0a399c3c7d4828f4b46b1cbd389122fa440f1d08e11cb05d4878cafb4d182	Groebner.groebner_apply!	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60	ok	0	9.69e-5	4.137119	2026-05-15T21:24:11Z	2026-05-15T21:24:16Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-noon-2-groebner-apply.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-sr57rebs\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\noon\txt\noon_2.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner_apply!"
apply-noon-2-axf4-t1	apply_vs_axf4	apply-noon-2-axf4-t1	noon	noon-2	systems/noon/noon.md	7334b5d5b7f4dffdfaa7472749b342bb01253d58724f79b42f7f0529df48928c	systems/noon/txt/noon_2.txt	d1b0a399c3c7d4828f4b46b1cbd389122fa440f1d08e11cb05d4878cafb4d182	axf4 -t 1	local-copy	axf4	8	GF(2147483647)	degrevlex		60	ok	0	0.038802	0.038802	2026-05-15T21:24:16Z	2026-05-15T21:24:16Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-noon-2-axf4-t1.log	"""C:\projects\Alexander Demin\gb_benchmarks\axgrob\axf4.exe"" -p 2147483647 -v [x1,x2] -t 1 C:\Users\User\AppData\Local\Temp\gbbench-axf4-bg1yfrhj\noon_2.txt"
apply-noon-2-axf4-t8	apply_vs_axf4	apply-noon-2-axf4-t8	noon	noon-2	systems/noon/noon.md	7334b5d5b7f4dffdfaa7472749b342bb01253d58724f79b42f7f0529df48928c	systems/noon/txt/noon_2.txt	d1b0a399c3c7d4828f4b46b1cbd389122fa440f1d08e11cb05d4878cafb4d182	axf4 -t 8	local-copy	axf4	8	GF(2147483647)	degrevlex		60	ok	0	0.032798	0.032798	2026-05-15T21:24:16Z	2026-05-15T21:24:16Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-noon-2-axf4-t8.log	"""C:\projects\Alexander Demin\gb_benchmarks\axgrob\axf4.exe"" -p 2147483647 -v [x1,x2] -t 8 C:\Users\User\AppData\Local\Temp\gbbench-axf4-fstkumgw\noon_2.txt"
apply-noon-3-groebner	apply_vs_axf4	apply-noon-3-groebner	noon	noon-3	systems/noon/noon.md	7334b5d5b7f4dffdfaa7472749b342bb01253d58724f79b42f7f0529df48928c	systems/noon/txt/noon_3.txt	8d90c59a25d7ae2befde8c725145c26be01608ef9fa11032577e9472b8ee98c4	Groebner.groebner	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60	ok	0	0.0003133	4.414596	2026-05-15T21:24:16Z	2026-05-15T21:24:20Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-noon-3-groebner.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-sr57rebs\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\noon\txt\noon_3.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner"
apply-noon-3-groebner-apply	apply_vs_axf4	apply-noon-3-groebner-apply	noon	noon-3	systems/noon/noon.md	7334b5d5b7f4dffdfaa7472749b342bb01253d58724f79b42f7f0529df48928c	systems/noon/txt/noon_3.txt	8d90c59a25d7ae2befde8c725145c26be01608ef9fa11032577e9472b8ee98c4	Groebner.groebner_apply!	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60	ok	0	0.0002492	4.574892	2026-05-15T21:24:20Z	2026-05-15T21:24:25Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-noon-3-groebner-apply.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-sr57rebs\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\noon\txt\noon_3.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner_apply!"
apply-noon-3-axf4-t1	apply_vs_axf4	apply-noon-3-axf4-t1	noon	noon-3	systems/noon/noon.md	7334b5d5b7f4dffdfaa7472749b342bb01253d58724f79b42f7f0529df48928c	systems/noon/txt/noon_3.txt	8d90c59a25d7ae2befde8c725145c26be01608ef9fa11032577e9472b8ee98c4	axf4 -t 1	local-copy	axf4	8	GF(2147483647)	degrevlex		60	ok	0	0.467179	0.467179	2026-05-15T21:24:25Z	2026-05-15T21:24:25Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-noon-3-axf4-t1.log	"""C:\projects\Alexander Demin\gb_benchmarks\axgrob\axf4.exe"" -p 2147483647 -v [x1,x2,x3] -t 1 C:\Users\User\AppData\Local\Temp\gbbench-axf4-82s392c2\noon_3.txt"
apply-noon-3-axf4-t8	apply_vs_axf4	apply-noon-3-axf4-t8	noon	noon-3	systems/noon/noon.md	7334b5d5b7f4dffdfaa7472749b342bb01253d58724f79b42f7f0529df48928c	systems/noon/txt/noon_3.txt	8d90c59a25d7ae2befde8c725145c26be01608ef9fa11032577e9472b8ee98c4	axf4 -t 8	local-copy	axf4	8	GF(2147483647)	degrevlex		60	ok	0	0.053271	0.053271	2026-05-15T21:24:25Z	2026-05-15T21:24:25Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-noon-3-axf4-t8.log	"""C:\projects\Alexander Demin\gb_benchmarks\axgrob\axf4.exe"" -p 2147483647 -v [x1,x2,x3] -t 8 C:\Users\User\AppData\Local\Temp\gbbench-axf4-zpdzti5h\noon_3.txt"
apply-noon-4-groebner	apply_vs_axf4	apply-noon-4-groebner	noon	noon-4	systems/noon/noon.md	7334b5d5b7f4dffdfaa7472749b342bb01253d58724f79b42f7f0529df48928c	systems/noon/txt/noon_4.txt	081fd5c5f5cc91cd0cfd73c1ff127ab96d20723f212f90b9089d589ce711feb1	Groebner.groebner	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60	ok	0	0.0022511	4.621472	2026-05-15T21:24:25Z	2026-05-15T21:24:30Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-noon-4-groebner.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-sr57rebs\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\noon\txt\noon_4.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner"
apply-noon-4-groebner-apply	apply_vs_axf4	apply-noon-4-groebner-apply	noon	noon-4	systems/noon/noon.md	7334b5d5b7f4dffdfaa7472749b342bb01253d58724f79b42f7f0529df48928c	systems/noon/txt/noon_4.txt	081fd5c5f5cc91cd0cfd73c1ff127ab96d20723f212f90b9089d589ce711feb1	Groebner.groebner_apply!	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60	ok	0	0.0010552	5.490580	2026-05-15T21:24:30Z	2026-05-15T21:24:35Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-noon-4-groebner-apply.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-sr57rebs\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\noon\txt\noon_4.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner_apply!"
apply-noon-4-axf4-t1	apply_vs_axf4	apply-noon-4-axf4-t1	noon	noon-4	systems/noon/noon.md	7334b5d5b7f4dffdfaa7472749b342bb01253d58724f79b42f7f0529df48928c	systems/noon/txt/noon_4.txt	081fd5c5f5cc91cd0cfd73c1ff127ab96d20723f212f90b9089d589ce711feb1	axf4 -t 1	local-copy	axf4	8	GF(2147483647)	degrevlex		60	ok	0	0.058454	0.058454	2026-05-15T21:24:35Z	2026-05-15T21:24:35Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-noon-4-axf4-t1.log	"""C:\projects\Alexander Demin\gb_benchmarks\axgrob\axf4.exe"" -p 2147483647 -v [x1,x2,x3,x4] -t 1 C:\Users\User\AppData\Local\Temp\gbbench-axf4-fyw1ra75\noon_4.txt"
apply-noon-4-axf4-t8	apply_vs_axf4	apply-noon-4-axf4-t8	noon	noon-4	systems/noon/noon.md	7334b5d5b7f4dffdfaa7472749b342bb01253d58724f79b42f7f0529df48928c	systems/noon/txt/noon_4.txt	081fd5c5f5cc91cd0cfd73c1ff127ab96d20723f212f90b9089d589ce711feb1	axf4 -t 8	local-copy	axf4	8	GF(2147483647)	degrevlex		60	ok	0	0.063098	0.063098	2026-05-15T21:24:35Z	2026-05-15T21:24:35Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-noon-4-axf4-t8.log	"""C:\projects\Alexander Demin\gb_benchmarks\axgrob\axf4.exe"" -p 2147483647 -v [x1,x2,x3,x4] -t 8 C:\Users\User\AppData\Local\Temp\gbbench-axf4-ba_y6x23\noon_4.txt"
